image,catalogNumber,cliffNumber,taxon,bone,age,relatedFossils,visibleMeasurements,currentLocation
"<img src=""http://www.carnegiequarry.com/images/DINO-14840-thumb.jpg"">",DINO 14840,Not yet available,"Sauropod, unidentified",Right humerus radius ulna metatarsals,Adult,None apparent,Not yet available,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-14840a-thumb.jpg"">",DINO 14840a,Not yet available,"Sauropod, unidentified",Right humerus radius ulna metatarsals,Adult,None apparent,Not yet available,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-14840b-thumb.jpg"">",DINO 14840b,Not yet available,"Sauropod, unidentified",Right humerus radius ulna metatarsals,Adult,None apparent,Not yet available,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-14840e-thumb.jpg"">",DINO 14840e,Not yet available,"Sauropod, unidentified",Right humerus radius ulna metatarsals,Adult,None apparent,Not yet available,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-14841a-thumb.jpg"">",DINO 14841a,Not yet available,"Sauropod, unidentified",Right tibia & fibula,Adult,May belong to right femur DINO 4995,Not yet available,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-14841b-thumb.jpg"">",DINO 14841b,Not yet available,"Sauropod, unidentified",Right tibia & fibula ,Adult,May belong to right femur DINO 4995,Not yet available,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-14842-thumb.jpg"">",DINO 14842,Not yet available,"Sauropod, unidentified",Caudal in end view,Adult,None apparent,Not yet available,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-14843-thumb.jpg"">",DINO 14843,Not yet available,"Sauropod, unidentified",Two sternal plates,Adult,None apparent,Not yet available,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-14850-thumb.jpg"">",DINO 14850,Not yet available,"Sauropod, unidentified",Midcondal vertebrate cranial view,Adult,None apparent,Not yet available,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-14851-thumb.jpg"">",DINO 14851,Not yet available,"Sauropod, unidentified",Right pedal phalanx,Adult,None apparent,Not yet available,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-14852-thumb.jpg"">",DINO 14852,Not yet available,"Sauropod, unidentified",Anterior candal vertebra caudal view,Adult,None apparent,Not yet available,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-2196-thumb.jpg"">",DINO 2196,Not yet available,Unknown,Unknown,Unknown,None apparent,Not yet available,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-2580a-thumb.jpg"">",DINO 2580a,CL-0373,Camarasaurus lentus,Skull,Adult,None apparent,24 in,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-2580b-thumb.jpg"">",DINO 2580b,CL-0382,Camarasaurus lentus,Atlas & axis,Adult,None apparent,6 in x 5 in,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-2580c-thumb.jpg"">",DINO 2580c,CL-0382,Camarasaurus lentus,Cervical 3 plus anterior ball,Adult,None apparent,7 in x 6 in,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-2580d-thumb.jpg"">",DINO 2580d,CL-0382,Camarasaurus lentus,Cervical 4 plus anterior ball,Adult,None apparent,9 in x 6 in,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-2580e-thumb.jpg"">",DINO 2580e,CL-0382,Camarasaurus lentus,Cervical 5 plus anterior ball,Adult,None apparent,12 in x 8 in,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-2580f-thumb.jpg"">",DINO 2580f,CL-0382,Camarasaurus lentus,Cervical 6 minus anterior ball,Adult,None apparent,11 in,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-2580g-thumb.jpg"">",DINO 2580g,CL-0382,Camarasaurus lentus,Cervical 7 minus anterior ball,Adult,None apparent,10 in,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-2580h-thumb.jpg"">",DINO 2580h,CL-0382,Camarasaurus lentus,Cervical 8 half missing,Adult,None apparent,Not yet available,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-2650-thumb.jpg"">",DINO 2650,Not yet available,Unknown,Unknown,Unknown,None apparent,Not yet available,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-3524-thumb.jpg"">",DINO 3524,Not yet available,Camarasaurus sp.,Left scapula ,Adult,None apparent,Not yet available,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-3525-thumb.jpg"">",DINO 3525,Not yet available,Diplodocus sp.,Left coracoid,Adult,Articulates with DINO 3526,Not yet available,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-3526-thumb.jpg"">",DINO 3526,Not yet available,Diplodocus sp.,Left scapula ,Adult,Articulates with DINO 3525,Not yet available,Carnegie Quarry
